id,average_minutes_played,points_per_game,average_total_rebounds,average_assists,win_shares,win_shares_per_48_minutes,box_plus_minus,value_over_replacement
1,24.5,9.5,6.7,1.5,21.8,0.09,-0.5,4.4
2,19.8,7,2.8,1.3,34.8,0.092,-0.9,4.9
3,33,14.2,4.3,2.6,55.7,0.109,0.2,13.5
4,35,18.3,4.4,2.1,88.7,0.122,0.8,24.9
5,22.9,8.5,5,1,22.5,0.07,-2.9,-3.7
6,16.9,6.4,3.3,0.9,10.9,0.071,-3.4,-2.7
7,22.8,9,3.1,2.3,24.6,0.068,-0.8,5.3
8,19.2,7.4,4.9,0.6,1.9,0.017,-5,-4
9,15.2,5.3,3.3,0.6,14.7,0.068,-3.8,-4.7
10,30.4,11.1,2.8,6.5,26.7,0.066,0.2,10.5
11,31.2,14.4,5.1,2.6,55.3,0.106,1.9,24.7
12,34.9,13.5,4.1,6.7,71.8,0.111,3,39.2
13,9.4,5,1.5,1,1.4,0.049,-3.6,-0.5
14,35.3,17.7,3.3,8.2,85,0.133,3.1,39.6
15,17.9,7.9,2.1,1.4,5.6,0.063,-2.5,-0.5
16,22.9,10.5,1.9,3.3,49.6,0.122,1.7,18.1
17,27.9,14.6,8.4,1.6,89.5,0.147,0.6,19.4
18,23.8,9.8,1.8,3.3,45,0.121,-0.2,8.1
19,8.1,3.5,1.2,0.4,-0.1,-0.005,-4.9,-0.9
20,8.4,2,1.9,0.5,-0.1,-0.008,-6.3,-0.5
21,26.1,10.8,3.4,2,24.2,0.063,-1.6,1.9
22,9.8,5.2,1.4,0.8,2.1,0.121,0.6,0.6
23,6.7,1.9,1.1,0.4,-0.5,-0.122,-8.8,-0.3
24,12.9,3.6,3.7,0.3,1,0.033,-3.7,-0.7
25,14.7,4.8,1.3,2.7,0.5,0.013,-3,-0.5
26,29.8,11.8,8.2,3.1,96.4,0.137,2.3,36.3
27,13.4,4.7,2.4,0.8,3.7,0.098,-0.4,0.7
28,27.6,11,2.2,5.9,32.9,0.075,-0.3,9.2
29,5.5,2,1.3,0.3,0,-0.015,-5.8,-0.1
30,6.7,1.9,1.1,0.3,0,-0.004,-6.2,-0.6
31,18.8,6.7,2,0.8,2.1,0.038,-3.2,-0.8
32,8,2.3,1.6,0.2,0.2,0.057,-3.1,0
33,6.5,1.8,0.5,1,0,0.022,-4,0
34,4.8,1.4,1.1,0.1,0.1,0.029,-6.9,-0.2
35,14.5,5,1.7,0.9,0.7,0.037,-2,0
36,30.8,14.2,4.6,2.2,89.7,0.101,0.5,26.6
37,14.4,6.9,4.2,0.4,6.4,0.142,-1,0.6
38,24.6,9.6,2.5,1.9,17.7,0.051,-3,-4.2
39,8.3,4.5,2.4,0.4,0.4,0.05,-4.9,-0.3
40,32.6,16.7,8.4,1.6,14.3,0.094,-0.4,3
41,9.8,1.9,2.9,0.5,0.4,0.052,-5.3,-0.3
42,,,,,,,,
43,17.2,5.9,3.1,0.8,19,0.076,-2.7,-2
44,,,,,,,,
45,12.2,4.3,1.1,1.8,-0.1,-0.012,-5.1,-0.5
46,6.5,3,1.5,0.5,0,0.088,-0.3,0
47,,,,,,,,
48,,,,,,,,
49,20.1,5.5,2.3,3.9,10.7,0.071,-0.7,2.4
50,11.1,3.4,1.6,0.6,0.9,0.027,-3.7,-0.6
51,4.3,2,0.6,0.3,-0.3,-0.106,-10.5,-0.3
52,12.2,2.8,0.9,2.7,1.6,0.023,-2.9,-0.8
53,,,,,,,,
54,,,,,,,,
55,33.2,16.5,9.3,2.5,64.3,0.119,1.4,22.3
56,35.3,16.3,3.9,6.7,145.5,0.148,3.3,62.5
57,26.7,14.6,1.9,3.5,25.2,0.077,-0.8,4.5
58,28.6,12.9,2.8,2.1,33.4,0.089,0.2,9.9
59,30.5,13.4,4.1,3,47.8,0.078,0.1,15.8
60,19.2,5.2,5.4,0.3,20.9,0.081,-4.3,-7
61,29.7,12.8,6.2,3.3,16.9,0.06,0,6.7
62,12.7,5.5,1.5,0.9,0.1,0.004,-5.7,-1.2
63,21.1,10.3,2.9,1.2,9.1,0.065,-2.5,-0.9
64,18.1,7.6,1.8,3.5,5.2,0.041,-1.5,0.8
65,28,9.4,8.6,0.8,56.2,0.12,-1.9,0.8
66,14,5.2,3.6,0.4,2,0.033,-5.9,-2.8
67,24.7,10.1,7.1,0.9,35.8,0.101,-1.5,2.2
